method,config_index,params,noisy_snr,enhanced_snr,snr_improvement,mae,mse,rmse,pesq,stoi
spectral_subtraction,0,"{""alpha"": 1.0, ""beta"": 0.02, ""noise_frames"": 6}",8.39486482394308,12.84748970213121,4.452624878188132,0.012744939902987223,0.00047202453070493224,0.017937236594023357,2.275215052719255,0.9193369224654514
spectral_subtraction,1,"{""alpha"": 1.5, ""beta"": 0.02, ""noise_frames"": 6}",8.39486482394308,13.701380106437758,5.306515282494682,0.01119000666313669,0.0003717310804499329,0.01599213339992143,2.296009505113352,0.9158738507119812
spectral_subtraction,2,"{""alpha"": 2.0, ""beta"": 0.02, ""noise_frames"": 6}",8.39486482394308,13.839932611583636,5.445067787640558,0.010805638810762123,0.00034957244572546433,0.015594273179562261,2.2942080458680403,0.911659039868173
wavelet_denoise,0,"{""mode"": ""soft"", ""threshold_scale"": 0.8, ""wavelet"": ""db4""}",8.39486482394308,8.596524283995441,0.20165946005236332,0.02309393672751787,0.0012485446716497782,0.02953077925519604,2.1071751067071287,0.9178146460497855
wavelet_denoise,1,"{""mode"": ""soft"", ""threshold_scale"": 1.0, ""wavelet"": ""db4""}",8.39486482394308,8.615161019558807,0.2202961956157272,0.02301036595062859,0.0012387351775633027,0.02943262949725622,2.09381779319453,0.9154325002981936
wavelet_denoise,2,"{""mode"": ""soft"", ""threshold_scale"": 1.0, ""wavelet"": ""sym8""}",8.39486482394308,8.61217829848773,0.21731347454465183,0.02303138731479265,0.0012415089780059363,0.02945778891663261,2.108997430182198,0.9163702809431085
wavelet_denoise,3,"{""mode"": ""hard"", ""threshold_scale"": 1.2, ""wavelet"": ""sym8""}",8.39486482394308,8.416046592311273,0.021181768368194846,0.023642639487131852,0.001308275333415013,0.03020289186553075,1.9957373638465568,0.9171148759933807
frequency_masking,0,"{""mask_floor"": 0.05, ""noise_frames"": 6, ""threshold"": 0.5}",8.39486482394308,11.048832600065323,2.653967776122243,0.015870857177679745,0.0007481908369255922,0.022466137973139167,2.130946607120986,0.9198820187003188
frequency_masking,1,"{""mask_floor"": 0.05, ""noise_frames"": 6, ""threshold"": 1.0}",8.39486482394308,11.765074943205615,3.3702101192625373,0.014515127695066113,0.0006390614172371818,0.020692643625394785,2.175108361157399,0.9196564564998018
frequency_masking,2,"{""mask_floor"": 0.05, ""noise_frames"": 6, ""threshold"": 2.0}",8.39486482394308,12.617926785977373,4.223061962034295,0.01304792685268076,0.0005252422259712775,0.018703726268632884,2.2328467843602007,0.9190647618980139
